"Success! Connection successfully tested!","Success! Connection successfully tested!"
"Error! Connection could not be established. Please check your setup.","Error! Connection could not be established. Please check your setup."
"FACT-Finder error message:","FACT-Finder error message:"
"Missing FTP data!","Missing FTP data!"
"No export file found!","No export file found!"
"Can't connect to FTP!","Can't connect to FTP!"
"Import successfully pushed.","Import successfully pushed."
"Import not successful.","Import not successful."
"Error: Could not write file","Error: Could not write file"
"File uploaded successfully!","File uploaded successfully!"
"Search...","Search..."
"Search","Search"
"Search suggestions","Search suggestions"
"Category suggestions","Category suggestions"
"Brands","Brands"
"Suggested products","Suggested products"
"You are searching for:","You are searching for:"
"Show More","Show More"
"Show Less","Show Less"
"View Details","View Details"
"Sort By","Sort By"
"Show","Show"
"produced","produced"
"Hits","Hits"
"There were an error during feed export. Please check the server log and contact the technical support.","There were an error during feed export. Please check the server log and contact the technical support."
"There were an error during feed upload. Please check the server log and contact the technical support.","There were an error during feed upload. Please check the server log and contact the technical support."
"There were an error during test connection. Please check if You provide all required authorization data","There were an error during test connection. Please check if You provide all required authorization data"
"Main settings","Main settings"
'<![CDATA[<div id="messages"><ul class="messages"><li class"notice-msg"><ul><li><span>Please always save the config in the upper right corner after making changes.</span></li></ul></li></ul></div>]]>','<![CDATA[<div id="messages"><ul class="messages"><li class="notice-msg"><ul><li><span>Please always save the config in the upper right corner after making changes.</span></li></ul></li></ul></div>]]>'
"Server URL","Server URL"
"Channel","Channel"
"Username","Username"
"Password","Password"
"Authentication Prefix","Authentication Prefix"
"Authentication Postfix","Authentication Postfix"
"Test connection","Test connection"
"Activated Web-Components","Activated Web-Components"
"Please always save the config in the upper right corner after making changes.","Please always save the config in the upper right corner after making changes."
"Suggestions","Suggestions"
"Filter / ASN","Filter / ASN"
"Paging","Paging"
"Sorting","Sorting"
"Breadcrumb","Breadcrumb"
"Products per page","Products per page"
"Campaigns","Campaigns"
"Pushed Products","Pushed Products"
"Recommendation","Recommendation"
"Similar","Similar"
"Advanced settings","Advanced settings"
"The advanced settings can change how the search works. Please edit them with caution and only if you know what they are doing.","The advanced settings can change how the search works. Please edit them with caution and only if you know what they are doing."
"API Version","API Version"
"FACT-Finder version.","FACT-Finder version."
"Use url parameter","Use url parameter"
"If set to true, the http parameters of the current search are pushed to the browser url.","If set to true, the http parameters of the current search are pushed to the browser url."
"Use cache","Use cache"
"This value determines, if the browser should cache previous search requests or not. Some browsers support this feature and therefore speed up the search for repeated requests.","This value determines, if the browser should cache previous search requests or not. Some browsers support this feature and therefore speed up the search for repeated requests."
"Default query","Default query"
"Determines which search term should be used by default. Default is '*'","Determines which search term should be used by default. Default is '*'"
"Add params","Add params"
"With this property you can deliver standard parameters which will then be attached to the search request. Example: param1=abc,param2=xyz.","With this property you can deliver standard parameters which will then be attached to the search request. Example: param1=abc,param2=xyz."
"Add tracking params","Add tracking params"
"With this property you can deliver standard parameters which are attached to every tracking request. Example: param1=abc,param2=xyz.","With this property you can deliver standard parameters which are attached to every tracking request. Example: param1=abc,param2=xyz."
"Keep filters","Keep filters"
"With this property you can determine if filters (which where set before the search, e.g. via ASN) should be kept or discarded.","With this property you can determine if filters (which where set before the search, e.g. via ASN) should be kept or discarded."
"Keep url params","Keep url params"
"Determines if parameters which are written into the URL should be kept.","Determines if parameters which are written into the URL should be kept."
"Use ASN","Use ASN"
"Determines if the the ASN is returned. Can be set to false to save performance, if the ASN is not required. Default is true.","Determines if the the ASN is returned. Can be set to false to save performance, if the ASN is not required. Default is true."
"Use found rows","Use found rows"
"For found records, FACT-Finder is capable of returning the words which lead to the find. The determination of these words costs performance. It is therefore deactivated by default. If true, words are created. If false, words are not created.","For found records, FACT-Finder is capable of returning the words which lead to the find. The determination of these words costs performance. It is therefore deactivated by default. If true, words are created. If false, words are not created."
"Use campaigns","Use campaigns",
"Use this parameter if you want to prevent the campaign manager from checking if there is a campaign for this search request.If true, campaigns are analyzed and returned. If false, campaigns are ignored. Default is true.","Use this parameter if you want to prevent the campaign manager from checking if there is a campaign for this search request.If true, campaigns are analyzed and returned. If false, campaigns are ignored. Default is true."
"Feedback campaign label","Feedback campaign label"
"Set the feedback campaign webcomponent label to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty.","Set the feedback campaign webcomponent label to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty."
"Advisor campaign name","Advisor campaign name"
"Set the advisor campaign webcomponent name to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty.","Set the advisor campaign webcomponent name to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty."
"Product campaign name","Product campaign name"
"Set the product campaign webcomponent name to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty.","Set the product campaign webcomponent name to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty."
"Product feedback campaign name","Product feedback campaign name"
"Set the product feedback campaign webcomponent name to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty.","Set the product feedback campaign webcomponent name to appropriate value. This value has to match a configured label value inside the FACT-Finder backend. Default is empty."
